,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count
0,hanifashafa_,18 and Under,"Combination, Medium, Neutral",an hour ago,"aku udah habis berbotol botolbuat sunscreen inii, apalagi semenjak dia upgrade ke spf yanglebih tinggi, jadi buat aku yang acne prone ngga ragu buat pake ini keluar rumah, dia ringan mudahh banget meresap gaada whitecase gabikin komedoan, dan ramah banget dikantong, aku udah pake sejak smp karena emang baguss dan harganya terjangkau",More than 1 year,Shopee,hanifashafa_ recommends this product!,5
1,Laelatulr,19 - 24,"Normal, Medium, Warm",a day ago,"Skin Aqua UV Moisture Gel SPF 30 PA ++ Face and Body. Tekstur sunscreen ini milky gel warna putih tentu saja. Selama pemakaian, super ringan di kulit, cepat menyerapnya dan gak whitecast. Melembapkan juga di kulit. Aku dapat ini dari giveaway Rohto gitu. Kalau beli di toko orange sih harganya sekitar 57.000 an gitu. Dari segi packaging karena aku dapatnya yang sample jadi bentuknya bulat dan tutupnya putar. Repurchase or no? I think yes. Rating 8,3/10.",1 week - 1 month,Gift,Laelatulr recommends this product!,4
2,dsekarayoe,19 - 24,"Oily, Light, Cool",3 days ago,"Aku biasa pake sunscreen ini buat dirumah aja karena aku pake yang SPF 30 PA++. Suka banget sama teksturnya yang gel ga terlalu kental/thick warnanya putih. Dioles ke kulit wajah langsung berasa melted dan adem. Ga ada wangi yang mengganggu. Dipake langsung sesuai takaran ini cakep, ga rewel. Awal-awal pake waktu skin barrier aku belum sehat ini jadi kusem dan agak lengket. Tapi bertahap lama-kelamaan habis botol pertama lanjut ke botol kedua ini ga bikin kusem. Malah cakep banget ga keliatan kaya pake sunscreen soalnya ini ga ada white cast. Agak sedikit bikin cerah kulitku tapi ga secerah kaya pake si tone up. Di aku kalau udah ngeset sekitar 15 menit kemudian lumayan agak matte lama kelamaan jadi glowing. Oil controlnya oke, ga bikin kilang minyakan setelah 3 jam. Aku ga ngerasa ini luntur karena kalo dirumah aja ga kepanasan jadi keringat yang keluar ga sebanyak kegiatan diluar. Ini lumayan awet sih karena aku pake selang seling kalo pergi itu pake yang spf 50.",6 months - 1 year,Shopee,dsekarayoe recommends this product!,5
3,AnisaFeb22,19 - 24,"Normal, Medium, Warm",29 Oct 2024,"Sunscreen yang paling sering aku repurchase itu Skin Aqua UV Moisturizer Gel, why? Karena selain worth it di kantong, sunscreen ini tuh bagus banget di muka aku, bikin kulit jadi lebih lembab dan lembut. Yang paling keren lagi aku itu tipe kulit yg oily tapi sunscreen ini tuh cepet banget ngeresap di kulit dan ringan banget, buat di pakai seharian juga nyaman banget 🤍",6 months - 1 year,Guardian,AnisaFeb22 recommends this product!,5
4,reniwl,25 - 29,"Dry, Medium, Warm",27 Oct 2024,Suka sekali sama varian yang ini. Padahal untuk kulit berminyak tapi di kulit keringku malah lebih cocok sama yang ini. Nggak buat kusam. Cepat menyerap ke kulit. Setelah pakai sunscreen ini kulit jadi glowing gitu. Love it. Udah repurchase berkali-kali,More than 1 year,Shopee,reniwl recommends this product!,5
5,kiyaacc,18 and Under,"Combination, Medium, Neutral",25 Oct 2024,"Sukaa bangett sama tekstur sunscreennyaaa!!! cepet banget nyerap, ga bikin kusaam dan ga ada whitecast, baunya juga lumayan enakk. udah coba beberapa sunscreen tapi skinaqua yang pass buat muka aku! 2 tahun gapernah ganti sunscreen, selalu pake skinaqua yang ijo spf 50😍😍",More than 1 year,Guardian,kiyaacc recommends this product!,5
6,abiaraa_,19 - 24,"Oily, Medium, Warm",22 Oct 2024,"teksturnya kaya lotion, putih pekat tp begitu diblend lgsg mencair dan cepat meresap. So far pake ini nggak pernah ada efek samping negatif, tp mmg kadang agak panas gtu rasanya. Fragrancenya jg ngga lebay, malah kaya bau bedak bayi gitusangat rekomendasi aplg pecinta mekap yg butuh skinprep sat set",1 month - 3 months,Shopee,abiaraa_ recommends this product!,5
7,vivintya,25 - 29,",25 - 29",28 Sep 2024,"Best sunscreen everrr, cocok buat aku yang punya skin type oily. Tidak bikin muncul jerawat dan ringan banget di muka. Udah re purchase berkali kali dan ga menyesal. Aku rekomendasiin banget sih buat yang punya kulit sensitif, oily, combination",More than 1 year,Super Indo,vivintya recommends this product!,5
8,chaerunnisamrwh,25 - 29,"Combination, Medium, Neutral",27 Sep 2024,"Sunscreen yang udah krg lebih 5 tahun selalu purchase dan purchase lagi, untuk textute gel ini buat muka lebih glow dan lumayan buat muka segar banget after pakai. Tpi untuk yg muka oily sebenarnya krg bagus krn cpt minyakan bgt jadinya. Biasanya abis pakai ini aku tetap pake powder biar gak kinclong bgt mukanyahehe",More than 1 year,Guardian,chaerunnisamrwh recommends this product!,5
9,meimeithekid,18 and Under,"Oily, Medium Light, Warm",24 Sep 2024,"First time pake sunscreen ini kaget banget karena teksturnya cair dan lightweight banget. Bener bener lightweight yang gak kerasa tapi spfnya kerasa nempel di muka. Sayangnya, ini kan katanya diformulasikan untuk kulit oily, tapi dia gak matte sama sekali, malah after pakainya keliatan makin oily. Ngeset juga keliatan menceling oily jadi harus diset pake bedak klo nggak ya harus diblotting. Tapi oke bgt formulasi yang baru udah spf50",1 week - 1 month,Shopee,meimeithekid recommends this product!,4
